GO ID	Freq
GO:0050806	1
GO:0050808	1
GO:0050810	1
GO:0050879	1
GO:0050881	1
GO:0050900	1
GO:0051054	1
GO:0051099	1
GO:0051101	1
GO:0051145	1
GO:0051181	1
GO:0051260	1
GO:0051384	1
GO:0051591	1
GO:0051896	1
GO:0052548	1
GO:0055022	1
GO:0055026	1
GO:0055062	1
GO:0055067	1
GO:0055072	1
GO:0055081	1
GO:0060037	1
GO:0060038	1
GO:0060039	1
GO:0060041	1
GO:0060043	1
GO:0060070	1
GO:0060174	1
GO:0060231	1
GO:0060317	1
GO:0060323	1
GO:0060351	1
GO:0060395	1
GO:0060411	1
GO:0060412	1
GO:0060416	1
GO:0060421	1
GO:0060425	1
GO:0060443	1
GO:0060479	1
GO:0060487	1
GO:0060512	1
GO:0060602	1
GO:0060603	1
GO:0060644	1
GO:0060740	1
GO:0060828	1
GO:0060841	1
GO:0061036	1
GO:0061037	1
GO:0061045	1
GO:0061117	1
GO:0061217	1
GO:0061311	1
GO:0061371	1
GO:0061383	1
GO:0061384	1
GO:0061436	1
GO:0061437	1
GO:0061440	1
GO:0061512	1
GO:0070166	1
GO:0070875	1
GO:0071241	1
GO:0071322	1
GO:0071326	1
GO:0071331	1
GO:0071371	1
GO:0071378	1
GO:0071396	1
GO:0071478	1
GO:0071604	1
GO:0071634	1
GO:0071695	1
GO:0071825	1
GO:0071827	1
GO:0071902	1
GO:0072012	1
GO:0072017	1
GO:0072074	1
GO:0072075	1
GO:0072091	1
GO:0072109	1
GO:0072111	1
GO:0072203	1
GO:0072215	1
GO:0072273	1
GO:0072506	1
GO:0090185	1
GO:0090192	1
GO:0090277	1
GO:0097094	1
GO:0097186	1
GO:0097305	1
GO:0097480	1
GO:0097485	1
GO:0097499	1
GO:0098661	1
GO:0098743	1
GO:1901213	1
GO:1901343	1
GO:1901380	1
GO:1901722	1
GO:1902115	1
GO:1902476	1
GO:1902692	1
GO:1903035	1
GO:1903319	1
GO:1903409	1
GO:1903426	1
GO:1903510	1
GO:1903524	1
GO:1903533	1
GO:1903779	1
GO:1904427	1
GO:1904589	1
GO:1904591	1
GO:1904705	1
GO:1905207	1
GO:1905314	1
GO:1905330	1
GO:1990874	1
GO:2000179	1
GO:2000379	1
GO:2000725	1
GO:2000736	1
GO:2000826	1
GO:2001057	1
GO:2001257	1
GO:2001258	1
GO:0000266	2
GO:0000271	2
GO:0000959	2
GO:0001525	2
GO:0001570	2
GO:0001649	2
GO:0001658	2
GO:0001666	2
GO:0001708	2
GO:0001895	2
GO:0002064	2
GO:0002200	2
GO:0002204	2
GO:0002208	2
GO:0002262	2
GO:0002562	2
GO:0002700	2
GO:0003018	2
GO:0003197	2
GO:0003203	2
GO:0003229	2
GO:0003231	2
GO:0003416	2
GO:0005977	2
GO:0006007	2
GO:0006073	2
GO:0006084	2
GO:0006112	2
GO:0006488	2
GO:0006558	2
GO:0006559	2
GO:0006590	2
GO:0006638	2
GO:0006639	2
GO:0006695	2
GO:0006734	2
GO:0006869	2
GO:0006885	2
GO:0006888	2
GO:0007098	2
GO:0007099	2
GO:0007249	2
GO:0007260	2
GO:0007272	2
GO:0007274	2
GO:0007281	2
GO:0007292	2
GO:0007405	2
GO:0007568	2
GO:0007603	2
GO:0007611	2
GO:0007626	2
GO:0008344	2
GO:0008366	2
GO:0009062	2
GO:0009064	2
GO:0009072	2
GO:0009116	2
GO:0009119	2
GO:0009123	2
GO:0009126	2
GO:0009132	2
GO:0009135	2
GO:0009141	2
GO:0009144	2
GO:0009161	2
GO:0009167	2
GO:0009179	2
GO:0009199	2
GO:0009205	2
GO:0009791	2
GO:0009880	2
GO:0009913	2
GO:0010001	2
GO:0010039	2
GO:0010463	2
GO:0010639	2
GO:0010717	2
GO:0010810	2
GO:0010952	2
GO:0010975	2
GO:0014902	2
GO:0015698	2
GO:0015711	2
GO:0016053	2
GO:0016056	2
GO:0016126	2
GO:0016202	2
GO:0016331	2
GO:0016444	2
GO:0016445	2
GO:0016447	2
GO:0017015	2
GO:0018958	2
GO:0019674	2
GO:0022400	2
GO:0022412	2
GO:0022604	2
GO:0030073	2
GO:0030104	2
GO:0030111	2
GO:0030166	2
GO:0030195	2
GO:0030323	2
GO:0030324	2
GO:0030513	2
GO:0030534	2
GO:0030641	2
GO:0030856	2
GO:0030878	2
GO:0031032	2
GO:0031099	2
GO:0031102	2
GO:0031581	2
GO:0032206	2
GO:0032332	2
GO:0032368	2
GO:0032412	2
GO:0032413	2
GO:0032846	2
GO:0032924	2
GO:0032944	2
GO:0032963	2
GO:0033692	2
GO:0034101	2
GO:0034284	2
GO:0034637	2
GO:0035136	2
GO:0035150	2
GO:0035383	2
GO:0035850	2
GO:0035904	2
GO:0035909	2
GO:0036293	2
GO:0042063	2
GO:0042073	2
GO:0042278	2
GO:0042340	2
GO:0042403	2
GO:0042446	2
GO:0042509	2
GO:0042552	2
GO:0042558	2
GO:0042632	2
GO:0042733	2
GO:0043268	2
GO:0043281	2
GO:0043405	2
GO:0043467	2
GO:0043491	2
GO:0043524	2
GO:0044042	2
GO:0044070	2
GO:0044236	2
GO:0044259	2
GO:0044273	2
GO:0044743	2
GO:0045444	2
GO:0045494	2
GO:0045765	2
GO:0045787	2
GO:0045834	2
GO:0045927	2
GO:0045995	2
GO:0046034	2
GO:0046128	2
GO:0046165	2
GO:0046364	2
GO:0046394	2
GO:0046660	2
GO:0046683	2
GO:0046716	2
GO:0046916	2
GO:0046939	2
GO:0046942	2
GO:0048048	2
GO:0048469	2
GO:0048483	2
GO:0048593	2
GO:0048634	2
GO:0048660	2
GO:0048754	2
GO:0048806	2
GO:0048844	2
GO:0048863	2
GO:0048872	2
GO:0050670	2
GO:0050671	2
GO:0050730	2
GO:0050731	2
GO:0050819	2
GO:0050880	2
GO:0050891	2
GO:0051148	2
GO:0051156	2
GO:0051259	2
GO:0051298	2
GO:0051453	2
GO:0051650	2
GO:0051928	2
GO:0051961	2
GO:0055010	2
GO:0055021	2
GO:0055024	2
GO:0055088	2
GO:0055092	2
GO:0060021	2
GO:0060078	2
GO:0060389	2
GO:0060393	2
GO:0060538	2
GO:0060627	2
GO:0060675	2
GO:0060688	2
GO:0060840	2
GO:0060993	2
GO:0061005	2
GO:0061318	2
GO:0061333	2
GO:0061351	2
GO:0070071	2
GO:0070509	2
GO:0070527	2
GO:0070663	2
GO:0071260	2
GO:0071320	2
GO:0071482	2
GO:0071496	2
GO:0072010	2
GO:0072028	2
GO:0072078	2
GO:0072088	2
GO:0072089	2
GO:0072112	2
GO:0072171	2
GO:0072207	2
GO:0072210	2
GO:0072224	2
GO:0072311	2
GO:0090100	2
GO:0090101	2
GO:0090183	2
GO:0090184	2
GO:0090288	2
GO:0097006	2
GO:0097479	2
GO:0098534	2
GO:0098656	2
GO:0098727	2
GO:0098840	2
GO:0098868	2
GO:1900047	2
GO:1900182	2
GO:1901016	2
GO:1901379	2
GO:1901606	2
GO:1901607	2
GO:1901657	2
GO:1901861	2
GO:1901862	2
GO:1902653	2
GO:1903169	2
GO:1903844	2
GO:1904019	2
GO:1904063	2
GO:2000116	2
GO:2000177	2
GO:2000241	2
GO:2000243	2
GO:2001252	2
GO:0000002	3
GO:0001656	3
GO:0001657	3
GO:0001823	3
GO:0001837	3
GO:0002573	3
GO:0002790	3
GO:0002791	3
GO:0003205	3
GO:0003206	3
GO:0005976	3
GO:0006066	3
GO:0006090	3
GO:0006096	3
GO:0006165	3
GO:0006261	3
GO:0006575	3
GO:0006625	3
GO:0006631	3
GO:0006637	3
GO:0006641	3
GO:0006650	3
GO:0006661	3
GO:0006664	3
GO:0006672	3
GO:0006704	3
GO:0006733	3
GO:0006735	3
GO:0006757	3
GO:0006820	3
GO:0006874	3
GO:0006956	3
GO:0007040	3
GO:0007162	3
GO:0007204	3
